timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3301331,96,507,235,0,22.42,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301431,96,507,234,0,22.41,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301531,98,508,236,1,22.42,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301631,98,507,236,2,22.42,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301731,95,507,235,1,22.42,56.26,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301831,97,508,235,2,22.42,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3301931,97,507,236,1,22.43,56.27,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302031,97,507,235,0,22.43,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302131,96,507,235,0,22.41,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302231,98,508,235,2,22.41,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302331,98,507,235,0,22.41,56.25,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302431,98,507,236,2,22.41,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302531,96,507,235,1,22.43,56.31,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302631,97,507,236,0,22.42,56.31,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302731,96,508,236,0,22.41,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302831,98,508,234,0,22.41,56.28,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3302931,96,507,236,2,22.42,56.27,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303031,96,507,235,0,22.41,56.33,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3303131,96,507,235,1,22.4,56.3,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
